Bag ID,Species,Treatment,Initial Biomass,Date Deployed,Date Collected,Time Deployed,Final Litter Mass,Mass Loss,Percent Biomass Remaining,%wt Bsi,%wt Carbon,%wt Nitrogen
90,ACRU,T-0,3.48,5/4/16,5/4/16,0,3.5,-0.02,100.57,1.67,46.84,0.62
91,BESP,T-0,4.46,5/4/16,5/4/16,0,4.54,-0.08,101.79,2.79,46.46,1.05
92,QURU,T-0,5.44,5/4/16,5/4/16,0,5.55,-0.11,102.02,0.66,48.24,0.92
93,TSCA,T-0,4.61,5/4/16,5/4/16,0,4.19,0.42,90.89,0.24,47.42,1.26
102,ACRU,T-0,5.52,5/4/16,5/4/16,0,5.58,-0.06,101.09,3.19,44.67,0.54
103,BESP,T-0,3.13,5/4/16,5/4/16,0,3.18,-0.05,101.6,2.19,46.35,1.02
104,QURU,T-0,5.46,5/4/16,5/4/16,0,5.54,-0.08,101.47,0.55,46.93,0.88
105,TSCA,T-0,4.7,5/4/16,5/4/16,0,4.25,0.45,90.43,0.26,47.39,1.27
166,ACRU,T-0,2.74,5/4/16,5/4/16,0,2.68,0.06,97.81,1.57,41.4,0.58
167,BESP,T-0,4.09,5/4/16,5/4/16,0,4.12,-0.03,100.73,0.57,46.34,0.96
168,QURU,T-0,9.46,5/4/16,5/4/16,0,9.58,-0.12,101.27,0.62,47.2,1
5,ACRU,Warming,4.53,5/4/16,5/18/16,14,3.96,0.57,87.42,1.55,45.4,0.76
6,BESP,Warming,4.16,5/4/16,5/18/16,14,3.96,0.2,95.19,2.9,47.79,1.07
7,QURU,Warming,5.48,5/4/16,5/18/16,14,5.37,0.11,97.99,0.45,48.06,0.97
8,TSCA,Warming,4.26,5/4/16,5/18/16,14,4.11,0.15,96.48,0.17,47.58,1.31
86,ACRU,Control,5.89,5/4/16,5/18/16,14,5.49,0.4,93.21,1.51,47.38,0.8
87,BESP,Control,3.73,5/4/16,5/18/16,14,3.55,0.18,95.17,2.8,46.68,0.91
88,QURU,Control,7.53,5/4/16,5/18/16,14,7.22,0.31,95.88,0.52,48.65,1.09
89,TSCA,Control,5.11,5/4/16,5/18/16,14,4.22,0.89,82.58,0.22,47.26,1.27
94,ACRU,Warming,4.23,5/4/16,5/18/16,14,3.88,0.35,91.73,1.49,47.35,0.71
95,BESP,Warming,4.23,5/4/16,5/18/16,14,4.09,0.14,96.69,2.75,47.22,0.91
96,QURU,Warming,5.8,5/4/16,5/18/16,14,5.68,0.12,97.93,0.56,47.1,0.82
97,TSCA,Warming,3.38,5/4/16,5/18/16,14,2.88,0.5,85.21,0.24,48.05,1.38
98,ACRU,Warming,5.41,5/4/16,5/18/16,14,4.9,0.51,90.57,2.25,46.44,0.76
99,BESP,Warming,4.74,5/4/16,5/18/16,14,4.62,0.12,97.47,2.19,46.72,0.88
100,QURU,Warming,7.8,5/4/16,5/18/16,14,7.47,0.33,95.77,0.65,49.07,1.03
101,TSCA,Warming,5.31,5/4/16,5/18/16,14,4.64,0.67,87.38,0.21,47.45,1.24
157,ACRU,Control,4.14,5/4/16,5/18/16,14,4.49,-0.35,108.45,2.2,47.14,0.68
158,BESP,Control,3.6,5/4/16,5/18/16,14,3.47,0.13,96.39,1.97,46.7,0.98
159,QURU,Control,7.51,5/4/16,5/18/16,14,7.32,0.19,97.47,0.87,47.94,1.34
171,BESP,Control,1.66,5/4/16,5/18/16,14,1.6,0.06,96.39,2.04,46.08,0.99
172,QURU,Control,7.1,5/4/16,5/18/16,14,6.96,0.14,98.03,2.05,48.19,1.02
1,ACRU,Warming,4.97,5/4/16,6/9/16,36,4.02,0.95,80.89,2.37,47.41,0.78
2,BESP,Warming,4.76,5/4/16,6/9/16,36,4.43,0.33,93.07,2.69,47.63,1.13
3,QURU,Warming,5.98,5/4/16,6/9/16,36,5.23,0.75,87.46,1.49,49.03,1.28
4,TSCA,Warming,4.51,5/4/16,6/9/16,36,3.94,0.57,87.36,0.28,48.62,1.49
70,ACRU,Warming,3.97,5/4/16,6/9/16,36,3.2,0.77,80.6,1.67,47.04,0.99
71,BESP,Warming,3.24,5/4/16,6/9/16,36,2.84,0.4,87.65,2.6,47.06,1.17
72,QURU,Warming,6.47,5/4/16,6/9/16,36,5.62,0.85,86.86,0.58,49.09,1.39
73,TSCA,Warming,4.17,5/4/16,6/9/16,36,2.98,1.19,71.46,0.23,38.41,1.4
82,ACRU,Warming,5.89,5/4/16,6/9/16,36,4.73,1.16,80.31,1.64,46.94,0.99
83,BESP,Warming,3.17,5/4/16,6/9/16,36,2.87,0.3,90.54,2.17,46.11,0.94
84,QURU,Warming,8.58,5/4/16,6/9/16,36,7.89,0.69,91.96,0.64,51.84,1.07
85,TSCA,Warming,3.36,5/4/16,6/9/16,36,2.7,0.66,80.36,0.34,48.23,1.56
114,ACRU,Control,3.43,5/4/16,6/9/16,36,3.03,0.4,88.34,4,45.79,0.65
115,BESP,Control,4.11,5/4/16,6/9/16,36,3.85,0.26,93.67,2.49,47.14,0.98
116,QURU,Control,6.57,5/4/16,6/9/16,36,6.06,0.51,92.24,0.72,48.49,0.92
117,TSCA,Control,4.86,5/4/16,6/9/16,36,3.76,1.1,77.37,0.2,48.9,1.53
145,ACRU,Control,6.21,5/4/16,6/9/16,36,5.28,0.93,85.02,3.22,45.09,0.68
146,BESP,Control,2.71,5/4/16,6/9/16,36,2.63,0.08,97.05,2.61,45.64,0.98
147,QURU,Control,6.36,5/4/16,6/9/16,36,5.79,0.57,91.04,0.78,47.1,1.53
148,TSCA,Control,3.49,5/4/16,6/9/16,36,2.85,0.64,81.66,0.22,47.83,1.54
163,ACRU,Control,1.77,5/4/16,6/9/16,36,1.32,0.45,74.58,1.51,45.91,0.89
164,BESP,Control,2.92,5/4/16,6/9/16,36,2.74,0.18,93.84,1.91,46.95,1.08
165,QURU,Control,13.69,5/4/16,6/9/16,36,12.41,1.28,90.65,0.55,49.61,1.8
17,ACRU,Warming,6.57,5/4/16,7/12/16,69,4.7,1.87,71.54,2.47,48.37,0.99
18,BESP,Warming,5.3,5/4/16,7/12/16,69,4.82,0.48,90.94,2.78,47.46,1.19
19,QURU,Warming,5.76,5/4/16,7/12/16,69,4.72,1.04,81.94,0.59,49.86,1.29
20,TSCA,Warming,4.7,5/4/16,7/12/16,69,3.48,1.22,74.04,0.16,49.85,1.7
29,ACRU,Warming,4.03,5/4/16,7/12/16,69,2.93,1.1,72.7,2.2,49.85,0.91
30,BESP,Warming,4.15,5/4/16,7/12/16,69,3.55,0.6,85.54,3.24,47.27,1.42
31,QURU,Warming,4.39,5/4/16,7/12/16,69,3.45,0.94,78.59,0.55,49.88,1.72
32,TSCA,Warming,3.76,5/4/16,7/12/16,69,2.76,1,73.4,0.26,49.35,1.63
41,ACRU,Warming,5.71,5/4/16,7/12/16,69,4.15,1.56,72.68,1.93,49.33,0.86
42,BESP,Warming,2.83,5/4/16,7/12/16,69,2.47,0.36,87.28,2.25,49.47,1.29
43,QURU,Warming,7.36,5/4/16,7/12/16,69,5.8,1.56,78.8,0.67,50.38,1.66
44,TSCA,Warming,4.68,5/4/16,7/12/16,69,3.5,1.18,74.79,0.24,49.55,1.74
110,ACRU,Control,4.9,5/4/16,7/12/16,69,3.94,0.96,80.41,3.06,48.06,0.87
111,BESP,Control,3.49,5/4/16,7/12/16,69,3.11,0.38,89.11,2.63,47.2,1.1
112,QURU,Control,7.73,5/4/16,7/12/16,69,6.83,0.9,88.36,0.58,50.81,0.92
113,TSCA,Control,4.18,5/4/16,7/12/16,69,2.94,1.24,70.33,0.21,51.88,1.75
153,ACRU,Control,3.5,5/4/16,7/12/16,69,2.46,1.04,70.29,1.81,47.5,1.06
154,BESP,Control,2.88,5/4/16,7/12/16,69,2.55,0.33,88.54,2.24,48.73,1.18
156,QURU,Control,8.37,5/4/16,7/12/16,69,6.92,1.45,82.68,0.24,50.62,1.76
169,BESP,Control,3.58,5/4/16,7/12/16,69,3.35,0.23,93.58,2.16,48.12,1.22
170,QURU,Control,2.62,5/4/16,7/12/16,69,2.14,0.48,81.68,0.59,49.02,1.52
25,ACRU,Warming,6.68,5/4/16,8/17/16,105,4.41,2.27,66.02,2.66,48.35,0.8
26,BESP,Warming,3.09,5/4/16,8/17/16,105,2.33,0.76,75.4,2.85,46.92,1.26
27,QURU,Warming,3.96,5/4/16,8/17/16,105,2.86,1.1,72.22,0.68,50.59,1.3
28,TSCA,Warming,3.61,5/4/16,8/17/16,105,2.07,1.54,57.34,0.16,49.31,1.75
45,ACRU,Warming,5.41,5/4/16,8/17/16,105,3.18,2.23,58.78,1.83,48.02,1
46,BESP,Warming,2.15,5/4/16,8/17/16,105,1.68,0.47,78.14,2.7,47.31,1.12
47,QURU,Warming,5.85,5/4/16,8/17/16,105,3.62,2.23,61.88,0.93,49.8,2.35
48,TSCA,Warming,5.86,5/4/16,8/17/16,105,3.36,2.5,57.34,0.29,49.16,1.74
74,ACRU,Warming,5.62,5/4/16,8/17/16,105,3.22,2.4,57.3,2.3,46.39,1.18
75,BESP,Warming,4.06,5/4/16,8/17/16,105,2.87,1.19,70.69,1.58,48.3,1.1
76,QURU,Warming,7.86,5/4/16,8/17/16,105,4.52,3.34,57.51,0.92,49.77,1.21
77,TSCA,Warming,3.49,5/4/16,8/17/16,105,1.9,1.59,54.44,0.24,49.77,1.81
106,ACRU,Control,6.39,5/4/16,8/17/16,105,4.76,1.63,74.49,2.86,46.5,0.78
107,BESP,Control,3.97,5/4/16,8/17/16,105,3.25,0.72,81.86,2.18,47.29,0.99
108,QURU,Control,6.24,5/4/16,8/17/16,105,4.81,1.43,77.08,0.74,49.35,1.02
109,TSCA,Control,4.22,5/4/16,8/17/16,105,2.42,1.8,57.35,0.2,49.64,1.66
118,ACRU,Control,3.33,5/4/16,8/17/16,105,2.21,1.12,66.37,1.99,47.23,0.83
119,BESP,Control,3.25,5/4/16,8/17/16,105,2.62,0.63,80.62,2.75,48.06,1
120,QURU,Control,4.36,5/4/16,8/17/16,105,3.28,1.08,75.23,0.57,50.15,0.94
121,TSCA,Control,4.9,5/4/16,8/17/16,105,2.88,2.02,58.78,0.24,49.69,1.69
149,ACRU,Control,2.61,5/4/16,8/17/16,105,2.01,0.6,77.01,2.63,42.81,0.92
150,BESP,Control,2.45,5/4/16,8/17/16,105,2.16,0.29,88.16,2.72,47.01,1.09
151,QURU,Control,8.66,5/4/16,8/17/16,105,6.02,2.64,69.52,0.52,49.87,1.44
152,TSCA,Control,3.24,5/4/16,8/17/16,105,1.7,1.54,52.47,0.16,49.22,1.73
9,ACRU,Warming,4.02,5/4/16,9/28/16,147,2.2,1.82,54.73,2.9,48.17,1.14
10,BESP,Warming,2.38,5/4/16,9/28/16,147,1.63,0.75,68.49,3.03,46.7,1.29
11,QURU,Warming,4.53,5/4/16,9/28/16,147,2.47,2.06,54.53,0.97,47.96,1.64
12,TSCA,Warming,5.84,5/4/16,9/28/16,147,3.2,2.64,54.79,0.23,49.58,2.14
33,ACRU,Warming,2.53,5/4/16,9/28/16,147,1.48,1.05,58.5,2.05,47.96,1.03
34,BESP,Warming,3.73,5/4/16,9/28/16,147,2.7,1.03,72.39,2.52,46.85,1.38
35,QURU,Warming,6.05,5/4/16,9/28/16,147,3.58,2.47,59.17,0.63,48.48,2.14
36,TSCA,Warming,3.52,5/4/16,9/28/16,147,1.9,1.62,53.98,0.22,49.04,1.94
37,ACRU,Warming,5.02,5/4/16,9/28/16,147,2.76,2.26,54.98,2.27,48.53,1.07
38,BESP,Warming,3.57,5/4/16,9/28/16,147,2.86,0.71,80.11,2.66,46.99,1.05
39,QURU,Warming,6.56,5/4/16,9/28/16,147,4.43,2.13,67.53,0.51,49.12,1.31
40,TSCA,Warming,4.08,5/4/16,9/28/16,147,2.46,1.62,60.29,0.27,49.61,1.97
53,ACRU,Control,4.32,5/4/16,9/28/16,147,2.42,1.9,56.02,1.93,48.23,1.1
126,BESP,Control,2.66,5/4/16,9/28/16,147,2.24,0.42,84.21,2.42,47.29,1.08
127,TSCA,Control,5.47,5/4/16,9/28/16,147,3.33,2.14,60.88,0.35,49.86,1.85
128,QURU,Control,7.35,5/4/16,9/28/16,147,4.71,2.64,64.08,0.69,49.36,1.68
133,ACRU,Control,4.4,5/4/16,9/28/16,147,2.52,1.88,57.27,2.13,48.05,1.06
134,BESP,Control,3.23,5/4/16,9/28/16,147,2.52,0.71,78.02,3.33,46.63,1.17
135,QURU,Control,4.35,5/4/16,9/28/16,147,2.82,1.53,64.83,0.83,48.74,1.63
136,TSCA,Control,3.51,5/4/16,9/28/16,147,2.18,1.33,62.11,0.23,49.47,1.87
137,ACRU,Control,3.53,5/4/16,9/28/16,147,2.21,1.32,62.61,4.25,45.64,0.97
138,BESP,Control,2.7,5/4/16,9/28/16,147,2.31,0.39,85.56,2.97,47.05,1.12
139,QURU,Control,8.95,5/4/16,9/28/16,147,6.6,2.35,73.74,0.67,49.15,1.69
140,TSCA,Control,8.31,5/4/16,9/28/16,147,5.08,3.23,61.13,0.29,50.15,1.74
54,ACRU,Warming,4.17,5/4/16,10/28/16,177,2.09,2.08,50.12,2.09,47.79,1.41
55,BESP,Warming,3.44,5/4/16,10/28/16,177,2.35,1.09,68.31,1.9,47.68,1.31
56,QURU,Warming,5.61,5/4/16,10/28/16,177,3.02,2.59,53.83,0.74,49.2,1.57
57,TSCA,Warming,2.35,5/4/16,10/28/16,177,0.96,1.39,40.85,0.29,50.17,2.04
62,ACRU,Warming,4.77,5/4/16,10/28/16,177,2.24,2.53,46.96,2.12,48.18,1.37
63,BESP,Warming,3.47,5/4/16,10/28/16,177,2.42,1.05,69.74,2.69,47.86,1.39
64,QURU,Warming,4.35,5/4/16,10/28/16,177,1.69,2.66,38.85,0.55,49.1,1.64
65,TSCA,Warming,2.77,5/4/16,10/28/16,177,1.17,1.6,42.24,0.26,50.55,2.32
66,ACRU,Warming,4.56,5/4/16,10/28/16,177,2.28,2.28,50,2.55,48.08,1.46
67,BESP,Warming,2.84,5/4/16,10/28/16,177,1.76,1.08,61.97,2.7,49.74,1.6
68,QURU,Warming,5.95,5/4/16,10/28/16,177,2.6,3.35,43.7,0.93,49.03,1.89
69,TSCA,Warming,4.32,5/4/16,10/28/16,177,2.14,2.18,49.54,0.38,50.28,2.16
129,ACRU,Control,5.37,5/4/16,10/28/16,177,2.83,2.54,52.7,2.39,47.62,1.33
130,BESP,Control,4.79,5/4/16,10/28/16,177,3.15,1.64,65.76,3.69,46.29,1.42
131,QURU,Control,8.71,5/4/16,10/28/16,177,5.16,3.55,59.24,0.83,49.91,1.54
132,TSCA,Control,4.86,5/4/16,10/28/16,177,2.75,2.11,56.58,0.33,50.33,2.02
141,ACRU,Control,4.67,5/4/16,10/28/16,177,2.65,2.02,56.75,3.18,46.4,1.14
142,BESP,Control,4.25,5/4/16,10/28/16,177,3.29,0.96,77.41,2.41,47.07,1.23
143,QURU,Control,6.02,5/4/16,10/28/16,177,3.48,2.54,57.81,0.87,48.45,1.8
144,TSCA,Control,5.11,5/4/16,10/28/16,177,2.89,2.22,56.56,0.33,48.2,1.9
13,ACRU,Warming,4.6,5/4/16,12/2/16,212,2.4,2.2,52.17,1.86,48.98,1.08
14,BESP,Warming,3.98,5/4/16,12/2/16,212,2.31,1.67,58.04,3.54,46.69,1.46
15,QURU,Warming,6.11,5/4/16,12/2/16,212,2.84,3.27,46.48,0.78,48.39,1.58
16,TSCA,Warming,4.91,5/4/16,12/2/16,212,2.19,2.72,44.6,0.41,49.48,2.32
21,ACRU,Warming,5.3,5/4/16,12/2/16,212,2.48,2.82,46.79,2.43,47.48,1.17
22,BESP,Warming,4.23,5/4/16,12/2/16,212,2.61,1.62,61.7,3.45,46.14,1.4
23,QURU,Warming,4.77,5/4/16,12/2/16,212,1.95,2.82,40.88,1.12,47.22,1.66
24,TSCA,Warming,4.08,5/4/16,12/2/16,212,1.8,2.28,44.12,0.38,48.52,2
78,ACRU,Warming,6.98,5/4/16,12/2/16,212,3.39,3.59,48.57,2.97,48,1.26
79,BESP,Warming,5.44,5/4/16,12/2/16,212,3.93,1.51,72.24,0.89,46.2,1.39
80,QURU,Warming,8.67,5/4/16,12/2/16,212,4.9,3.77,56.52,2.04,48.86,1.33
81,TSCA,Warming,8.95,5/4/16,12/2/16,212,3.79,5.16,42.35,0.31,49.2,2.35
122,ACRU,Control,5.31,5/4/16,12/2/16,212,2.79,2.52,52.54,2.96,47.07,1.15
123,BESP,Control,2.33,5/4/16,12/2/16,212,1.86,0.47,79.83,2.36,46.16,1.13
124,QURU,Control,3.3,5/4/16,12/2/16,212,2.33,0.97,70.61,0.64,47.22,1.27
125,TSCA,Control,6.71,5/4/16,12/2/16,212,3.5,3.21,52.16,0.27,49.54,2.01
160,ACRU,Control,3.93,5/4/16,12/2/16,212,1.98,1.95,50.38,2.09,47.32,1.06
161,BESP,Control,4.9,5/4/16,12/2/16,212,3.72,1.18,75.92,2.89,46.07,1.05
162,QURU,Control,7.43,5/4/16,12/2/16,212,5.27,2.16,70.93,0.69,48.64,1.2